Order,SeqHeader,PC1,PC2,PC3,PC4,PC5
Chroococcales,Seq1,-78.34679469939589,-2.0121556708569948,1.4233053371725475,-11.193355806884117,3.4716682080870664
Chroococcales,Seq2,36.119228530019164,-23.379061121962497,39.2522814115933,3.2910798477071173,-28.878336322766934
Chroococcales,Seq3,2.9558085296686225,4.606006891103461,60.145371882291656,-0.3402869686524762,21.88553662616569
Chroococcales,Seq4,35.01710444287261,-24.682650701313065,39.44139519163864,0.045590002988840105,-25.697402572115536
Chroococcales,Seq5,37.20897137629848,-52.90261018844013,-31.517930474264357,-17.162061192462957,12.131331167690636
Chroococcales,Seq6,37.08125459746451,-53.48003691578032,-29.75710249732589,-17.53719898193295,12.025706011841491
Nostocales,Seq1,-78.34679469939589,-2.0121556708569948,1.4233053371725475,-11.193355806884117,3.4716682080870664
Nostocales,Seq2,-40.786767902178305,17.354373919215433,-7.141363755736023,-20.47997707668218,-4.982064607502326
Nostocales,Seq3,47.89405561703413,56.366489862450585,-11.62928044797824,-13.665896464230501,-5.751299090454971
Nostocales,Seq4,47.89405561703413,56.366489862450585,-11.62928044797824,-13.665896464230501,-5.751299090454971
Nostocales,Seq5,22.809501215628963,17.106992713563365,-15.749788191227744,-22.7958241028414,-5.584797404649526
Oscillatoriales,Seq1,-78.34679469939589,-2.0121556708569948,1.4233053371725475,-11.193355806884117,3.4716682080870664
Oscillatoriales,Seq2,-14.289840617189125,-6.934782182129821,-27.80379041423064,47.98399501625361,-45.72393754279219
Oscillatoriales,Seq3,39.131251309166544,4.404483221221688,5.308183415930604,29.458115678783155,48.485548741788236
Oscillatoriales,Seq4,-15.994238617637347,11.210771652191783,-13.188611684232566,58.4484281259532,17.426009458991437
