Order,SeqHeader,PC1,PC2,PC3,PC4,PC5
Chroococcales,Seq1,-80.73399883903329,17.445211059873476,18.537279827587444,9.566204963798597,-25.949412951192958
Chroococcales,Seq2,-20.982958130198185,-42.66631812909984,-15.142528441541076,30.061243403851098,31.75867223058502
Chroococcales,Seq3,-51.59783281868755,-26.901101073016175,-14.898614157214832,12.495638712686844,18.88053159938874
Chroococcales,Seq4,-22.28675374497438,-48.69055428356441,-13.02862343501683,27.615272462118917,28.586070522595453
Chroococcales,Seq5,80.3472430374892,-30.741463627096497,17.18334054943156,8.5489841257478,-28.74820162059092
Chroococcales,Seq6,79.91975948383275,-30.964110045065475,17.032111753606735,9.166364085827187,-29.124797686168527
Nostocales,Seq1,-80.73399883903329,17.445211059873476,18.537279827587444,9.566204963798597,-25.949412951192958
Nostocales,Seq2,35.102353351031475,32.26654107959977,51.49113292626044,-8.059901871391974,41.0296383443454
Nostocales,Seq3,34.51993118401562,37.71578248598005,46.78261640221033,-3.6699176541663583,39.53086589243434
Nostocales,Seq4,40.97400332204453,48.636280557887176,-56.60442123508476,16.80512390533599,-2.404947257968131
Nostocales,Seq5,40.97400332204453,48.636280557887176,-56.60442123508476,16.80512390533599,-2.404947257968131
Oscillatoriales,Seq1,-80.73399883903329,17.445211059873476,18.537279827587444,9.566204963798597,-25.949412951192958
Oscillatoriales,Seq2,-31.920934238851455,-7.228060124041676,-8.0328981136515,-57.591192737063885,-3.5697441608711356
Oscillatoriales,Seq3,71.86299770536174,-15.31762481538995,11.331068303343134,-13.943133816121115,-26.82445478599366
Oscillatoriales,Seq4,-14.709815956010877,-17.081285763698,-35.12060280002249,-66.93221941355473,11.139553033786552
